"Sample_ID","total_sites","homozygous_sites","heterozygous_sites","missing_sites","prop_homozygous","prop_heterozygous","prop_missing"
"BKN_001",983,741,123,119,0.75381485249237,0.125127161749746,0.121057985757884
"BKN_002",983,789,90,104,0.80264496439471,0.0915564598168871,0.105798575788403
"BKN_003",983,838,13,132,0.852492370295015,0.0132248219735504,0.134282807731434
"BKN_004",983,857,13,113,0.871820956256358,0.0132248219735504,0.114954221770092
"BKN_005",983,814,48,121,0.828077314343845,0.0488301119023398,0.123092573753815
"BKN_006",983,820,15,148,0.834181078331638,0.0152594099694812,0.150559511698881
"BKN_007",983,809,29,145,0.822990844354018,0.0295015259409969,0.147507629704985
"BKN_008",983,826,54,103,0.84028484231943,0.0549338758901322,0.104781281790437
"BKN_009",983,896,10,77,0.911495422177009,0.0101729399796541,0.0783316378433367
"BKN_010",983,870,7,106,0.885045778229908,0.00712105798575788,0.107833163784334
"BKN_011",983,834,32,117,0.848423194303154,0.0325534079348932,0.119023397761953
"BKN_012",983,848,18,117,0.862665310274669,0.0183112919633774,0.119023397761953
"BKN_013",983,640,183,160,0.651068158697864,0.18616480162767,0.162767039674466
"BKN_014",983,854,13,116,0.868769074262462,0.0132248219735504,0.118006103763988
"BKN_015",983,867,13,103,0.881993896236012,0.0132248219735504,0.104781281790437
"BKN_016",983,887,6,90,0.90233977619532,0.00610376398779247,0.0915564598168871
"BKN_017",983,868,1,114,0.883011190233978,0.00101729399796541,0.115971515768057
"BKN_018",983,898,2,83,0.91353001017294,0.00203458799593082,0.0844354018311292
"BKN_019",983,855,17,111,0.869786368260427,0.017293997965412,0.112919633774161
"BKN_020",983,850,19,114,0.8646998982706,0.0193285859613428,0.115971515768057
"BKN_021",983,787,97,99,0.800610376398779,0.098677517802645,0.100712105798576
"BKN_022",983,882,14,87,0.897253306205493,0.0142421159715158,0.0885045778229908
"BKN_023",983,864,7,112,0.878942014242116,0.00712105798575788,0.113936927772126
"BKN_024",983,762,110,111,0.775178026449644,0.111902339776195,0.112919633774161
"BKN_025",983,805,10,168,0.818921668362157,0.0101729399796541,0.170905391658189
"BKN_026",983,879,14,90,0.894201424211597,0.0142421159715158,0.0915564598168871
"BKN_027",983,805,26,152,0.818921668362157,0.0264496439471007,0.154628687690743
"BKN_028",983,798,78,107,0.811800610376399,0.0793489318413021,0.108850457782299
"BKN_029",983,866,11,106,0.880976602238047,0.0111902339776195,0.107833163784334
"BKN_030",983,893,8,82,0.908443540183113,0.0081383519837233,0.0834181078331638
"BKN_031",983,895,10,78,0.910478128179044,0.0101729399796541,0.0793489318413021
"BKN_032",983,881,12,90,0.896236012207528,0.0122075279755849,0.0915564598168871
"BKN_033",983,859,15,109,0.873855544252289,0.0152594099694812,0.11088504577823
"BKN_034",983,860,11,112,0.874872838250254,0.0111902339776195,0.113936927772126
"BKN_035",983,851,15,117,0.865717192268566,0.0152594099694812,0.119023397761953
"BKN_036",983,811,10,162,0.825025432349949,0.0101729399796541,0.164801627670397
"BKN_037",983,772,12,199,0.785350966429298,0.0122075279755849,0.202441505595117
"BKN_038",983,802,8,173,0.81586978636826,0.0081383519837233,0.175991861648016
"BKN_039",983,811,9,163,0.825025432349949,0.00915564598168871,0.165818921668362
"CU0001",983,880,3,100,0.895218718209563,0.00305188199389624,0.101729399796541
"CU0002",983,854,2,127,0.868769074262462,0.00203458799593082,0.129196337741607
"CU0003",983,878,2,103,0.893184130213632,0.00203458799593082,0.104781281790437
"CU0004",983,859,2,122,0.873855544252289,0.00203458799593082,0.12410986775178
"CU0005",983,876,7,100,0.891149542217701,0.00712105798575788,0.101729399796541
"CU0006",983,846,1,136,0.860630722278739,0.00101729399796541,0.138351983723296
"CU0007",983,883,2,98,0.898270600203459,0.00203458799593082,0.0996948118006104
"CU0008",983,909,1,73,0.92472024415056,0.00101729399796541,0.0742624618514751
